timestamp,open,high,low,close,volume
2022-09-21 08:00:00,18946.8,18952.48,18823.53,18870.51,8284.5767
2022-09-21 09:00:00,18871.41,19029.72,18840.5,18997.66,10497.04177
2022-09-21 10:00:00,18998.34,19154.96,18944.11,19103.65,13044.09931
2022-09-21 11:00:00,19104.54,19205.93,19080.19,19165.93,12183.95223
2022-09-21 12:00:00,19165.18,19282.8,19114.46,19247.78,14578.35306
2022-09-21 13:00:00,19247.78,19339.41,19223.22,19271.55,16981.97914
2022-09-21 14:00:00,19272.74,19477.77,19213.12,19253.29,20008.08868
2022-09-21 15:00:00,19252.61,19311.12,19084.17,19191.17,16712.14663
2022-09-21 16:00:00,19191.81,19366.52,19169.37,19235.21,12349.2815
2022-09-21 17:00:00,19235.21,19897.0,19224.73,19867.93,21153.29081
2022-09-21 18:00:00,19867.91,19956.0,18666.0,19636.01,62287.8954
2022-09-21 19:00:00,19637.81,19699.99,18978.94,19001.03,33870.32207
2022-09-21 20:00:00,19002.76,19072.72,18841.68,18926.26,18538.8478
2022-09-21 21:00:00,18926.26,18926.27,18325.0,18466.87,19548.52365
2022-09-21 22:00:00,18466.87,18500.0,18125.98,18488.93,19059.86694
2022-09-21 23:00:00,18487.94,18593.3,18420.39,18461.36,14541.36479
2022-09-22 00:00:00,18461.36,18548.55,18356.39,18389.22,16250.51153
2022-09-22 01:00:00,18389.22,18526.55,18358.67,18513.44,13612.42428
2022-09-22 02:00:00,18513.44,18770.0,18480.42,18744.02,14976.54134
2022-09-22 03:00:00,18744.02,18789.04,18638.02,18690.39,14464.83018
2022-09-22 04:00:00,18690.39,18808.34,18662.5,18705.42,11848.64029
2022-09-22 05:00:00,18704.4,18730.83,18617.41,18669.21,11603.03185
2022-09-22 06:00:00,18669.13,18879.98,18661.07,18767.74,16151.04152
2022-09-22 07:00:00,18768.14,18969.87,18730.01,18934.29,14932.35124
2022-09-22 08:00:00,18934.29,19285.12,18906.1,19203.01,20447.25743
2022-09-22 09:00:00,19203.9,19235.55,19091.96,19179.81,14599.55811
2022-09-22 10:00:00,19179.81,19243.77,19078.25,19149.56,13397.05258
2022-09-22 11:00:00,19148.97,19272.06,19030.39,19229.81,17539.10731
2022-09-22 12:00:00,19229.81,19317.66,19141.0,19203.61,18409.49563
2022-09-22 13:00:00,19203.61,19221.26,18889.34,18903.67,21541.08918
2022-09-22 14:00:00,18902.81,19073.5,18849.67,18880.22,22021.38447
2022-09-22 15:00:00,18881.5,19026.58,18794.06,18986.89,17903.46836
2022-09-22 16:00:00,18985.96,19095.4,18780.01,19042.07,17079.74234
2022-09-22 17:00:00,19041.1,19118.0,18944.57,19068.84,15508.39443
2022-09-22 18:00:00,19069.37,19218.0,18969.17,19193.35,17326.64566
2022-09-22 19:00:00,19192.32,19499.0,19191.65,19311.19,22855.57611
2022-09-22 20:00:00,19309.43,19360.33,19240.92,19248.48,12520.46005
2022-09-22 21:00:00,19248.48,19288.26,19150.0,19175.2,7334.70902
2022-09-22 22:00:00,19175.2,19437.85,19170.19,19397.56,13965.87516
2022-09-22 23:00:00,19397.56,19550.17,19358.9,19401.63,13032.53304
2022-09-23 00:00:00,19401.63,19467.0,19304.03,19307.46,12093.7499
2022-09-23 01:00:00,19307.46,19381.6,19225.73,19355.3,12503.00906
2022-09-23 02:00:00,19354.98,19363.0,19232.0,19295.0,10798.19314
2022-09-23 03:00:00,19293.96,19449.74,19284.42,19394.62,11570.85212
2022-09-23 04:00:00,19393.14,19500.0,19314.65,19412.62,11602.95139
2022-09-23 05:00:00,19411.95,19465.11,19356.31,19357.39,10258.60293
2022-09-23 06:00:00,19357.39,19417.99,19312.85,19330.36,9357.10875
2022-09-23 07:00:00,19331.69,19335.49,19200.0,19223.27,13656.96002
2022-09-23 08:00:00,19223.27,19273.52,19026.0,19069.34,16611.48822
2022-09-23 09:00:00,19069.34,19148.1,18964.66,19083.78,16186.61452
2022-09-23 10:00:00,19083.78,19121.15,18930.0,18964.41,15801.31326
2022-09-23 11:00:00,18964.41,18994.9,18835.0,18862.72,18382.01567
2022-09-23 12:00:00,18862.72,18956.98,18825.0,18896.74,14717.47963
2022-09-23 13:00:00,18896.74,19077.02,18624.05,18641.04,22155.93254
2022-09-23 14:00:00,18640.69,18749.02,18531.42,18674.45,26280.65592
2022-09-23 15:00:00,18674.41,18855.0,18586.0,18711.86,23180.47645
2022-09-23 16:00:00,18712.08,18788.42,18572.55,18765.54,21096.48128
2022-09-23 17:00:00,18766.72,18852.28,18633.25,18770.0,21128.74863
2022-09-23 18:00:00,18770.0,18834.42,18620.28,18635.02,21562.25099
2022-09-23 19:00:00,18636.12,18829.71,18620.31,18807.57,20617.96022
2022-09-23 20:00:00,18807.57,18956.85,18807.57,18852.17,14795.747
